"";"note";"type";"sKNotes:notes";
"001dccef-122a-414d-b020-03b7a236b76c";;;"";"
"
"002892a4-e22c-4123-b4bf-00f5f55e251f";"Envoi de l'Etat, inscription au registre en 1903
Inventaire :
(I-2) Registre d'inventaire du musée du Havre (1871-1957), p.41 (fiche grahal 2300)";"Note sur le statut juridique";;"
"
"00466e96-f258-4046-babe-14701267bf5b";;;"";"
"
"004964bd-a95b-4fec-9cb4-6cbce62e498f";;;"";"
"
"00794fbb-7a98-4334-bafa-b87f6827ef2f";"[Unique statut mentionné comme statut Antérieur dans Micromusée et basculé comme statut Actuel pour la reprise]";"Note sur le statut juridique";;"
"
"007d30af-b902-49c5-9051-b86982e1ddc0";;;"";"
"
"007d4369-0344-4eea-99d8-81e8a74af015";"n° 231 p. 82-83 repr";"Note sur l'exposition - 2009, Le Havre, Henri-Edmond Cross";;"
"
"0080fa77-ba56-4281-87a2-18a62f6a99c9";"n° 174 du catalogue, vignette en noir et blanc";"Note sur l'exposition - 1987, Le Havre, Musée des Beaux-Arts André Malraux";;"
"
"008c3b7c-1287-4e69-95c5-3eaf41fbf718";;;"";"
"
"00935016-0ceb-4845-aecd-4fb1e055c6d7";"n° 152 du catalogue, vignette en noir et blanc.";"Note sur l'exposition - 1987, Le Havre, Musée des Beaux-Arts André Malraux";;"
"
"00960353-3b05-448a-b222-716f02e29050";"Cette oeuvre a pu être acquise grâce à une subvention du FRAM de 5000 euros.";"Note sur le statut juridique";;"
"
"00c39e1e-8c25-4def-8b0c-c1b9a6c99e04";;;"";"
"
"00ccf54e-b5d8-4145-adf3-5898a7a4ad1b";;;"";"
"
"00db6aca-44c0-4b1e-8b2d-8cf0d8b3d83e";;;"";"
"
"0102d534-01e0-48e5-bf94-3affd4745a7a";;;"";"
"
"0104e66f-51a0-438d-8bf3-e015e0c47f19";;;"";"
"
"01255444-e0eb-4fff-b4f0-883f299a8eb9";;;"";"
"
"01353536-c192-4119-98ad-5d09e0277ff9";;;"";"
"
"0137852d-a195-4e04-97a3-6dd76d971a54";;;"";"
"
"013d358d-6144-46f9-8ca3-ce7580e3051a";"FNAC 26141";"Numéro d'inventaire du déposant";;"
"
"0142d772-fc35-408b-bd5b-a07ea7d13f18";;;"";"
"
"0145ecc9-690d-4531-8a01-1641e2b8514d";;;"";"
"
"016434ab-aff3-4265-9dfc-7f2cf986a689";;;"";"
"
"016c86f4-0d36-4bf6-94e9-824240d3718e";;;"";"
"
"017481b6-feab-4cfa-8be9-9172e19ae783";;;"";"
"
"0175de5c-d837-43aa-b915-a3b967768945";;;"";"
"
"018a7396-9c9a-49a9-af62-6dc80b2f7bda";;;"";"
"
"01965e06-d05b-4ae3-94cd-a135f8376c5e";;;"";"
"
"01a0e194-b4a4-481a-9e0f-243e1f0f4093";"Copie du A 37";"Note sur l'identification";;"
"
"01bc7a10-2d65-4e72-b743-1d9174944ac3";;;"";"
"
"01ccac67-6a6d-4954-86fe-4bc5b130dc44";;;"";"
"
